                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8495,                 4.5608,                 2.3298,                0.00167,                0.14596,                0.00714,                0.00422,                  2.474,                 4.2575,                 2.1567,                 0.0937,                 0.0007,                 0.0007
                      2,                 2.6492,                 4.4969,                 2.2351,                0.00153,                0.12348,                0.00862,                0.00588,                 2.4656,                 4.2403,                 2.1775,                0.08645,              0.0014505,              0.0014505
                      3,                 2.4415,                 4.3466,                  1.984,                0.00239,                0.20008,                0.01557,                0.01029,                 2.2886,                 4.2241,                 2.0057,               0.079148,              0.0021482,              0.0021482
                      4,                 2.5735,                  4.505,                 2.0618,                0.00274,                 0.2279,                 0.0177,                0.01193,                 2.2972,                  4.196,                 1.9627,               0.071793,              0.0027931,              0.0027931
                      5,                 2.4167,                 4.4593,                 1.8831,                0.00253,                0.21037,                0.01244,                0.00794,                 2.2357,                 4.1451,                 1.8829,               0.064385,              0.0033852,              0.0033852
                      6,                 2.1739,                 4.1526,                 1.6914,                0.00319,                0.26258,                 0.0296,                0.01661,                  2.256,                 4.1122,                 1.8813,               0.056925,              0.0039245,              0.0039245
                      7,                  2.276,                 4.4195,                 1.8927,                 0.0027,                0.21913,                0.02349,                0.01339,                 2.2672,                 4.0425,                 1.8277,               0.049411,               0.004411,               0.004411
                      8,                 2.2262,                 4.0483,                 1.7363,                0.00255,                0.21037,                0.02341,                0.01527,                 2.2716,                 4.0494,                 1.8332,               0.041845,              0.0048447,              0.0048447
                      9,                 2.5104,                 4.2135,                 2.1054,                0.00218,                0.18255,                0.03341,                0.01735,                 2.2207,                 3.9403,                 1.7268,               0.034226,              0.0052256,              0.0052256
                     10,                 2.1883,                 4.0728,                 1.8969,                0.00218,                0.18255,                0.03341,                0.01735,                 2.2207,                 3.9403,                 1.7268,               0.026554,              0.0055537,              0.0055537
                     11,                 2.2488,                  3.928,                 1.8683,                0.00464,                0.36357,                0.03903,                0.01941,                  2.198,                 3.8577,                 1.7917,               0.018829,               0.005829,               0.005829
                     12,                 2.1642,                 3.7916,                 1.7277,                0.00464,                0.36357,                0.03903,                0.01941,                  2.198,                 3.8577,                 1.7917,               0.011052,              0.0060515,              0.0060515
                     13,                 2.2499,                 3.7925,                 1.7854,                0.00517,                0.40206,                0.18224,                0.08485,                 2.2598,                 3.6952,                 1.8654,                0.00604,                0.00604,                0.00604
                     14,                 2.1666,                 3.5894,                 1.7175,                0.00517,                0.40206,                0.18224,                0.08485,                 2.2598,                 3.6952,                 1.8654,                0.00604,                0.00604,                0.00604
                     15,                 2.2096,                 3.3971,                 1.7139,                0.76068,                0.20732,                0.25701,                0.10951,                 2.2807,                  3.325,                 1.9358,                0.00571,                0.00571,                0.00571
                     16,                 2.2083,                 3.3581,                 1.6824,                0.76068,                0.20732,                0.25701,                0.10951,                 2.2807,                  3.325,                 1.9358,                0.00538,                0.00538,                0.00538
                     17,                  2.335,                 3.2677,                 1.7782,                0.80345,                0.20732,                0.25963,                0.10277,                 2.3318,                 3.2083,                 1.9918,                0.00505,                0.00505,                0.00505
                     18,                 2.3116,                  3.278,                 1.7887,                0.80345,                0.20732,                0.25963,                0.10277,                 2.3318,                 3.2083,                 1.9918,                0.00472,                0.00472,                0.00472
                     19,                 2.2812,                 3.2832,                 1.7496,                0.54107,                0.27032,                0.29516,                0.11931,                   2.38,                 3.1283,                 1.9817,                0.00439,                0.00439,                0.00439
                     20,                 2.1821,                 3.2831,                 1.8082,                0.54107,                0.27032,                0.29516,                0.11931,                   2.38,                 3.1283,                 1.9817,                0.00406,                0.00406,                0.00406
                     21,                 2.1282,                 3.4433,                 1.8034,                0.43305,                0.33956,                0.31909,                0.12619,                 2.2673,                 3.0109,                 1.8714,                0.00373,                0.00373,                0.00373
                     22,                 2.3777,                 3.3353,                 1.8983,                0.43305,                0.33956,                0.31909,                0.12619,                 2.2673,                 3.0109,                 1.8714,                 0.0034,                 0.0034,                 0.0034
                     23,                  2.096,                 3.1238,                 1.7541,                 0.4577,                0.32466,                0.31111,                0.12677,                 2.1742,                 2.9701,                 1.8385,                0.00307,                0.00307,                0.00307
                     24,                 2.2205,                 3.2527,                  1.794,                 0.4577,                0.32466,                0.31111,                0.12677,                 2.1742,                 2.9701,                 1.8385,                0.00274,                0.00274,                0.00274
                     25,                 2.2662,                 3.2276,                 1.8364,                 0.3692,                 0.4204,                0.33356,                0.14833,                 2.1335,                 2.9444,                 1.7889,                0.00241,                0.00241,                0.00241
                     26,                 2.1839,                 3.1616,                 1.7794,                 0.3692,                 0.4204,                0.33356,                0.14833,                 2.1335,                 2.9444,                 1.7889,                0.00208,                0.00208,                0.00208
                     27,                 2.1563,                 3.3843,                 1.7554,                0.38644,                 0.3857,                0.34733,                0.15341,                 2.1793,                 2.9285,                 1.8107,                0.00175,                0.00175,                0.00175
                     28,                 2.0804,                 3.2424,                 1.7293,                0.38644,                 0.3857,                0.34733,                0.15341,                 2.1793,                 2.9285,                 1.8107,                0.00142,                0.00142,                0.00142
                     29,                 2.2001,                 3.4416,                 1.7632,                0.44536,                0.40396,                0.36702,                0.16904,                 2.1477,                 2.9086,                 1.7596,                0.00109,                0.00109,                0.00109
                     30,                 2.2009,                 3.1402,                 1.7586,                0.44536,                0.40396,                0.36702,                0.16904,                 2.1477,                 2.9086,                 1.7596,                0.00076,                0.00076,                0.00076
