                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7367,                  4.469,                  2.515,                 0.0012,                0.11875,                 0.0018,                0.00026,                 2.3216,                  4.301,                 2.3155,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.6353,                 4.3392,                  2.442,                0.00131,                  0.125,                0.00092,                0.00027,                 2.3505,                 4.2619,                 2.2331,               0.070235,              0.0032347,              0.0032347
                      3,                 2.7228,                  4.401,                 2.4261,                0.00174,                0.16406,                0.00116,                 0.0003,                 2.2761,                 4.2793,                 2.2312,               0.054802,               0.004802,               0.004802
                      4,                 2.4989,                 4.3519,                 2.2127,                0.00229,                0.21875,                0.00165,                 0.0005,                 2.3717,                 4.2689,                 2.3283,               0.039302,               0.006302,               0.006302
                      5,                 2.6141,                 4.1901,                 2.2569,                0.00127,                0.13437,                0.00078,                0.00024,                 2.4543,                 4.2816,                 2.4331,               0.023735,              0.0077347,              0.0077347
                      6,                 2.5523,                 4.2496,                 2.1863,                0.00199,                0.20469,                0.00144,                0.00049,                 2.7488,                 4.3579,                 2.5332,                0.00901,                0.00901,                0.00901
                      7,                 2.5465,                 4.0987,                 2.1545,                0.00257,                0.25156,                0.00192,                0.00055,                 2.5772,                 4.2562,                 2.3387,                0.00901,                0.00901,                0.00901
                      8,                 2.5673,                 3.9932,                 2.1786,                0.00239,                0.22656,                0.00178,                0.00054,                 2.5282,                 4.2241,                 2.2754,               0.008812,               0.008812,               0.008812
                      9,                 2.4631,                 3.9967,                 2.1201,                0.00366,                0.37812,                0.01332,                0.00454,                 2.5385,                 3.9811,                 2.1947,               0.008614,               0.008614,               0.008614
                     10,                 2.4325,                 3.9101,                 2.0856,                0.54739,                0.01562,                0.03445,                0.01157,                 2.4872,                 3.8789,                 2.2084,               0.008416,               0.008416,               0.008416
                     11,                 2.3917,                 3.7185,                  2.103,                0.56155,                0.03906,                0.02114,                0.00705,                 2.4924,                 4.0748,                 2.1659,               0.008218,               0.008218,               0.008218
                     12,                 2.3844,                 3.4754,                 2.0192,                  0.544,                0.07812,                0.03275,                0.01067,                 2.4297,                 4.6531,                 2.1479,                0.00802,                0.00802,                0.00802
                     13,                 2.4645,                 3.8666,                 2.1888,                0.55147,                0.03125,                0.03189,                0.00936,                 2.3831,                 3.6602,                 2.0109,               0.007822,               0.007822,               0.007822
                     14,                 2.2876,                 3.5821,                 1.9367,                0.56565,                 0.0625,                0.05509,                0.02141,                 2.3068,                 3.5439,                 1.9514,               0.007624,               0.007624,               0.007624
                     15,                 2.3126,                 3.6098,                 2.0039,                 0.5336,                0.10156,                0.04205,                 0.0185,                 2.4118,                 3.7557,                 2.0419,               0.007426,               0.007426,               0.007426
                     16,                 2.3498,                 3.5234,                 2.0218,                0.05338,                0.11719,                0.05241,                0.02215,                 2.5448,                 3.8392,                 2.1747,               0.007228,               0.007228,               0.007228
                     17,                 2.3114,                 3.5654,                 2.0315,                0.23502,                0.19844,                0.11026,                0.04476,                 2.4605,                 3.5492,                 2.0787,                0.00703,                0.00703,                0.00703
                     18,                 2.3512,                 3.5848,                  2.045,                0.31464,                0.19844,                0.17305,                0.07131,                 2.3945,                 3.4531,                 2.0251,               0.006832,               0.006832,               0.006832
                     19,                 2.3306,                 3.4361,                 2.0086,                0.27491,                0.16094,                0.14988,                0.05467,                 2.5343,                 3.5152,                 2.1876,               0.006634,               0.006634,               0.006634
                     20,                 2.4452,                 3.3413,                  2.083,                0.22742,                0.21875,                0.15166,                0.05493,                 2.4913,                 3.4294,                 2.2277,               0.006436,               0.006436,               0.006436
                     21,                 2.3561,                 3.6838,                 2.0711,                0.18221,                0.28906,                0.14168,                0.04884,                  2.411,                 3.6871,                 2.0866,               0.006238,               0.006238,               0.006238
                     22,                 2.4023,                  3.491,                 2.0117,                0.23778,                0.22656,                0.13587,                0.04861,                 2.3331,                 3.5832,                  2.085,                0.00604,                0.00604,                0.00604
                     23,                 2.3196,                 3.3032,                 2.0109,                0.14799,                0.24219,                0.09678,                0.03128,                 2.4104,                 3.4962,                 2.1392,               0.005842,               0.005842,               0.005842
                     24,                 2.2909,                 3.3272,                 2.0092,                0.17988,                0.15156,                0.12345,                0.03889,                 2.3318,                 3.4076,                 2.0459,               0.005644,               0.005644,               0.005644
                     25,                 2.2953,                  3.231,                 2.0091,                0.26545,                0.20625,                 0.1633,                 0.0478,                 2.2714,                 3.5494,                   1.98,               0.005446,               0.005446,               0.005446
