                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                 2.2412,                 3.2283,                 1.9903,                0.20916,                0.27031,                0.17972,                0.05887,                 2.2829,                  3.592,                 2.0119,               0.005248,               0.005248,               0.005248
                     27,                 2.2066,                 3.2975,                 1.9804,                0.15454,                0.21563,                0.11809,                0.03236,                 2.3755,                 3.3234,                 2.1069,                0.00505,                0.00505,                0.00505
                     28,                 2.2107,                 3.0675,                  1.911,                0.14358,                0.18281,                0.11321,                 0.0338,                  2.379,                 3.5045,                 2.0743,               0.004852,               0.004852,               0.004852
                     29,                 2.1899,                  3.074,                 1.8602,                0.16849,                0.31562,                0.11682,                0.03251,                 2.3927,                  3.588,                 2.0651,               0.004654,               0.004654,               0.004654
                     30,                 2.1953,                 2.9244,                 1.8292,                0.18191,                0.34687,                0.14192,                0.04516,                 2.2938,                 3.6688,                 1.9718,               0.004456,               0.004456,               0.004456
                     31,                 2.1642,                 3.0507,                 1.8752,                0.19134,                0.44375,                0.16493,                0.05111,                 2.2884,                 3.4459,                 1.9737,               0.004258,               0.004258,               0.004258
                     32,                 2.1025,                 2.9672,                 1.7812,                0.23799,                0.20625,                0.17535,                0.06219,                 2.2261,                 3.2814,                 1.9578,                0.00406,                0.00406,                0.00406
                     33,                 2.1486,                 3.0787,                 1.9052,                0.21266,                0.32812,                  0.196,                0.06613,                 2.2252,                 3.0661,                 1.9829,               0.003862,               0.003862,               0.003862
                     34,                 2.1088,                 2.9607,                 1.8603,                0.17751,                0.23594,                0.20424,                0.06364,                 2.2078,                 2.9607,                 1.9638,               0.003664,               0.003664,               0.003664
                     35,                 2.1985,                 3.0771,                 1.9442,                0.22775,                0.25156,                0.19404,                0.06173,                 2.1737,                 2.9285,                 1.9404,               0.003466,               0.003466,               0.003466
                     36,                 2.1153,                 3.0596,                 1.8679,                0.26024,                0.20215,                0.20889,                0.07382,                 2.1074,                 2.9614,                 1.8937,               0.003268,               0.003268,               0.003268
                     37,                 2.2287,                 2.9667,                 1.9452,                0.29287,                 0.1985,                0.18851,                0.07164,                 2.0994,                 3.0063,                 1.8968,                0.00307,                0.00307,                0.00307
                     38,                 2.2223,                  3.089,                 1.9364,                0.17861,                0.19531,                0.15966,                0.05246,                 2.1107,                 3.0405,                 1.9155,               0.002872,               0.002872,               0.002872
                     39,                 2.0423,                 3.0613,                 1.8934,                0.72743,                0.17188,                0.16712,                 0.0533,                 2.1358,                 2.9916,                 1.9425,               0.002674,               0.002674,               0.002674
                     40,                 2.1316,                  2.967,                 1.9462,                0.72974,                0.19263,                0.18496,                0.05573,                 2.1675,                 2.9749,                  2.023,               0.002476,               0.002476,               0.002476
                     41,                 2.1512,                 3.2086,                 1.9379,                0.73855,                0.19962,                 0.1842,                0.05719,                 2.1247,                 2.9461,                 1.9818,               0.002278,               0.002278,               0.002278
                     42,                 2.0586,                 3.1395,                 1.8631,                 0.2265,                0.22656,                0.19231,                 0.0635,                 2.1484,                 2.9803,                 1.9727,                0.00208,                0.00208,                0.00208
                     43,                 2.0923,                 3.1762,                 1.9353,                0.19085,                0.21875,                0.18382,                0.06263,                 2.1367,                 2.9673,                 1.9493,               0.001882,               0.001882,               0.001882
                     44,                 2.0459,                 3.0921,                 1.8932,                0.12676,                0.16983,                0.16332,                0.05467,                 2.1793,                 2.9429,                 1.9923,               0.001684,               0.001684,               0.001684
                     45,                 2.0285,                 3.0254,                 1.8644,                0.10963,                0.16406,                0.14172,                0.04924,                 2.1488,                  2.946,                 1.9579,               0.001486,               0.001486,               0.001486
                     46,                 2.0448,                 3.0203,                 1.8508,                 0.0958,                0.16406,                0.14117,                0.05101,                 2.1849,                 2.9453,                 1.9713,               0.001288,               0.001288,               0.001288
                     47,                 1.9956,                 3.0215,                  1.844,                0.11173,                0.18661,                0.14673,                0.05056,                 2.1976,                 2.9515,                 1.9755,                0.00109,                0.00109,                0.00109
                     48,                 2.0478,                 2.9906,                 1.8455,                0.10917,                0.17188,                  0.147,                0.05236,                 2.1962,                  2.968,                 1.9755,               0.000892,               0.000892,               0.000892
                     49,                 2.0273,                 2.9878,                 1.8306,                0.11018,                0.16406,                0.15035,                0.05234,                 2.1996,                 2.9706,                 1.9726,               0.000694,               0.000694,               0.000694
                     50,                 1.9924,                 2.9857,                 1.7802,                0.12417,                0.17188,                0.14971,                0.05007,                 2.1859,                 2.9831,                 1.9612,               0.000496,               0.000496,               0.000496
