                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3071,                 3.2994,                  1.942,                0.21155,                0.15313,                0.10922,                0.03981,                 2.2553,                 3.2153,                 1.9352,               0.007822,               0.007822,               0.007822
                     36,                 2.2926,                 3.3026,                 1.9178,                0.20504,                0.15313,                0.11982,                0.04232,                 2.1922,                  3.146,                 1.9227,               0.007756,               0.007756,               0.007756
                     37,                 2.3755,                 3.1782,                 1.9687,                0.11118,                 0.1125,                0.06611,                0.02346,                 2.2372,                  3.225,                 1.9876,                0.00769,                0.00769,                0.00769
                     38,                 2.3472,                 3.2837,                 2.0137,                0.07354,                0.16406,                0.10166,                0.02521,                 2.3369,                 3.4196,                 2.2472,               0.007624,               0.007624,               0.007624
                     39,                 2.2888,                 3.0683,                 2.0344,                0.09296,                0.09375,                0.08469,                0.02848,                  2.369,                 3.7412,                 2.2539,               0.007558,               0.007558,               0.007558
                     40,                 2.2451,                 3.1056,                 1.9998,                0.18217,                0.09375,                0.11135,                0.03221,                 2.3207,                 4.0092,                 2.1976,               0.007492,               0.007492,               0.007492
                     41,                 2.1934,                 2.9476,                 1.9517,                0.11353,                0.27031,                0.11131,                0.04049,                 2.2326,                 3.2025,                 2.0267,               0.007426,               0.007426,               0.007426
                     42,                 2.1426,                 2.8463,                 1.8461,                0.14127,                0.20469,                0.12431,                0.04429,                 2.2796,                 3.1737,                 2.0413,                0.00736,                0.00736,                0.00736
                     43,                 2.2115,                 3.1276,                 1.8578,                0.20706,                0.23906,                0.11835,                0.04019,                 2.3375,                 3.0811,                 2.0936,               0.007294,               0.007294,               0.007294
                     44,                 2.1894,                 2.9982,                 1.9541,                 0.2072,                0.26094,                0.16433,                0.05559,                 2.2347,                 2.9952,                 2.0028,               0.007228,               0.007228,               0.007228
                     45,                 2.2724,                 2.9229,                 2.0046,                0.13147,                0.21742,                0.16999,                0.04837,                  2.346,                  2.889,                 2.1533,               0.007162,               0.007162,               0.007162
                     46,                  2.225,                 3.0454,                 1.9984,                 0.6386,                  0.125,                0.11344,                0.02952,                 2.3652,                 3.0863,                 2.1599,               0.007096,               0.007096,               0.007096
                     47,                 2.2457,                 2.8555,                 1.9466,                0.15329,                0.22054,                0.11695,                0.03093,                  2.257,                 3.0358,                 2.0779,                0.00703,                0.00703,                0.00703
                     48,                 2.1537,                 2.8557,                 1.9452,                0.17482,                0.13281,                0.15251,                 0.0391,                 2.2864,                 2.9731,                 2.1203,               0.006964,               0.006964,               0.006964
                     49,                 2.2003,                 3.0588,                 1.9905,                0.18144,                0.07812,                0.09238,                0.02115,                 2.3333,                  3.203,                  2.193,               0.006898,               0.006898,               0.006898
                     50,                  2.266,                 2.8947,                 1.9914,                0.16255,                0.17656,                0.09397,                0.02647,                 2.3532,                 3.1929,                 2.1069,               0.006832,               0.006832,               0.006832
